year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0,11.1,0,0.4,0.1,0,0.1,0,0,0,0,0,0,27,0,0.1,0.3,0,0.1,4.2,0,0,0,0.1,0,0,0,0,0,0,0,0,5,0,1.1,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.7
1962,0,0,0,10.5,0,0.4,0.1,0,0.1,0,0,0,0,0,0,27.1,0,0.1,0.3,0,0.1,4.3,0,0,0,0.1,0,0,0,0,0,0,0,0,4.9,0,0.8,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0.1,0.7
1963,0,0,0,11.7,0,0.4,0.1,0,0.1,0,0,0,0,0,0,27.3,0,0.2,0.4,0,0.1,4.3,0,0,0,0.1,0,0,0,0,0,0,0,0,5.5,0,1,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.7
1964,0,0,0,12.1,0,0.5,0.1,0,0.1,0,0,0,0,0,0,27.9,0,0.2,0.4,0,0.1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0.9,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.7
1965,0,0,0,10.9,0,0.5,0.1,0,0.1,0,0,0,0,0,0,27.5,0,0.1,0.4,0,0.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,1,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.7
1966,0,0,0,10.3,0,0.4,0.1,0,0.1,0,0,0,0,0,0,27.7,0,0.1,0.5,0,0.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0.8,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0.7
1967,0,0,0,10.7,0,0.4,0.1,0,0.1,0,0,0,0,0,0,27.7,0,0.1,0.4,0,0.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0.7,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0.6
1968,0,0,0,11,0,0.4,0.1,0,0.1,0,0,0,0,0,0,27.4,0,0,0.4,0,0.1,5,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0.7,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0.6
1969,0,0,0,11,0,0.4,0.1,0,0.1,0,0,0,0,0,0,28.8,0,0,0.4,0,0.1,4.7,0,0,0,0,0,0,0,0,0.1,0,0,0,6,0,0.7,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0.6
1970,0,0,0,11.4,0,0.4,0.1,0,0.1,0,0,0,0,0,0,28.7,0,0.1,0.5,0,0.1,4.5,0,0,0,0,0,0,0,0,0.1,0,0,0,5.8,0,0.7,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0.6
1971,0,0,0,11.3,0,0.4,0.1,0,0.1,0,0,0,0,0,0,27.5,0,0,0.5,0,0.2,5,0,0,0,0,0,0,0,0,0.1,0,0,0,6.1,0,0.7,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0.7
1972,0,0,0,11.3,0,0.4,0.1,0,0.1,0,0,0,0,0.1,0,27.6,0,0,0.6,0,0.2,4.8,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,5.7,0,0.7,0,0,0.6,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0.7
1973,0,0,0,10.5,0,0.4,0.1,0,0.1,0,0,0,0,0.1,0,28.1,0,0,0.6,0,0.2,4.7,0,0,0,0,0,0,0,0,0.1,0,0,0,6.4,0,0.7,0,0,0.6,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.2,0.8
1974,0,0,0,10.2,0,0.4,0.1,0,0.1,0,0,0,0,0.1,0,27.8,0,0,0.6,0,0.3,4.7,0.1,0,0,0,0,0,0,0,0.2,0,0,0,6.1,0,0.7,0,0,0.7,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.2,0.8
1975,0,0,0,10.6,0,0.3,0.1,0,0.1,0,0,0,0,0.1,0,28.6,0,0.1,0.6,0,0.4,4.7,0,0,0,0.1,0,0,0,0,0.1,0,0,0,6.1,0,0.7,0,0,0.6,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.2,0.7
1976,0,0,0,10.3,0,0.3,0.1,0,0.1,0,0,0,0,0.1,0,26.9,0,0,0.5,0,0.4,5.5,0.1,0,0,0,0,0,0,0,0.2,0,0,0,6.3,0,0.7,0,0,0.6,0,0,0.1,0,0,0.2,0,0,0,0,0,0.1,0.2,0.7
1977,0,0,0,10.1,0,0.3,0.1,0,0.1,0,0,0,0,0.1,0,26,0,0.2,0.5,0,0.4,6.7,0.1,0,0,0,0,0,0,0,0.1,0,0,0,6.5,0,0.7,0,0,0.6,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0.2,0.7
1978,0,0,0,10.8,0,0.3,0.1,0,0.1,0,0,0,0,0.1,0,25.7,0,0.2,0.5,0,0.4,7.2,0.2,0,0,0,0,0,0,0,0.1,0.1,0,0,6.2,0,0.7,0,0,0.7,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0.2,0.7
1979,0,0,0,10.4,0,0.3,0.1,0,0.1,0,0,0,0,0.1,0,26.2,0,0.2,0.8,0,0.4,6.7,0.2,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0.7,0,0,0.8,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0.2,0.6
1980,0,0,0,10.2,0,0.2,0,0,0.1,0,0.2,0.1,0,0.1,0,26.1,0,0.1,0.7,0,0.5,6.6,0.2,0,0,0,0,0,0,0,0.1,0,0,0,5.8,0,0.7,0,0,1.2,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0.2,0.5
1981,0,0,0,9.4,0,0.3,0,0,0.1,0,0.2,0.1,0,0.1,0,29.6,0,0,0.6,0,0.6,8.6,0.2,0,0,0,0,0,0,0,0.5,0,0,0,6.4,0,0.7,0,0,1.3,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0.2,0.7
1982,0,0,0,9.7,0,0.3,0,0,0.1,0,0.2,0.1,0,0.1,0,30,0,0.1,0.8,0,0.5,4.9,0.2,0,0,0,0,0,0,0,0,0.1,0,0,6.1,0,0.7,0,0,1.4,0,0,0.1,0,0,0.4,0,0,0,0,0,0.1,0.2,0.7
1983,0,0,0,9.8,0,0.3,0,0,0.1,0,0.2,0.1,0,0.1,0,27.9,0,0,0.6,0,0.5,5.1,0.1,0,0,0,0,0,0,0,0.3,0,0,0,6.3,0,0.7,0,0,1.1,0,0,0.1,0,0,0.2,0,0,0,0,0,0.1,0.2,0.7
1984,0,0,0,9.3,0,0.3,0,0,0.1,0,0.2,0.1,0,0.1,0,23.9,0,0,0.6,0,0.5,5.6,0,0,0,0,0,0,0,0,0.7,0.1,0,0,5.9,0,0.7,0,0,1.1,0,0,0.1,0,0,0.3,0,0,0,0,0,0.1,0.2,0.7
1985,0,0,0,9.5,0,0.3,0,0,0.1,0,0.2,0.2,0,0.1,0,27.9,0,0.1,0.4,0,0.6,5.4,0,0,0,0,0,0,0,0,0.5,0.1,0,0,8.2,0,0.7,0,0,0.7,0,0,0.1,0,0,0.2,0,0,0,0,0,0.1,0.2,0.7
1986,0,0,0,10.2,0,0.3,0,0,0.1,0,0.2,0.2,0,0.1,0,31.5,0,0,0.8,0,0.6,4.6,0,0,0,0,0,0,0,0,0.4,0.1,0,0,6.6,0,0.7,0,0,0.4,0,0,0,0,0,0.3,0,0,0,0,0,0.1,0.2,0.8
1987,0,0,0,11,0,0.3,0,0,0.1,0,0.2,0.2,0,0.1,0,30.4,0,0,0.7,0,0.6,5.9,0,0,0,0.1,0,0,0,0,0.2,0.3,0,0.1,7.4,0,1.8,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0.1,0.2,0.8
1988,0,0,0,11.4,0,0.3,0,0,0.1,0,0.2,0.2,0,0.1,0,31.7,0,0,0.7,0,0.6,5.4,0,0,0,0.1,0,0,0,0,0.1,0.3,0,0.1,6.3,0,2,0,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0.9
1989,0,0,0,11.4,0,0.3,0,0,0.1,0,0.2,0.2,0,0.1,0,27.4,0,0,0.6,0,0.5,5.3,0,0,0,0.1,0,0,0,0,0.1,0.3,0,0.1,5.8,0,1.8,0,0.1,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.3,1.1
1990,0,0,0,11.3,0,0.2,0,0,0.1,0,0.2,0.2,0,0.1,0,29.2,0,0,0.5,0,0.5,5.6,0,0,0,0.1,0,0,0,0,0.1,0.4,0,0.1,7.3,0,1.8,0,0.1,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.3,1
1991,0,0,0,10.4,0,0.2,0,0,0.1,0,0.2,0.2,0,0.1,0,29,0,0,0.6,0,0.5,5.9,0,0,0,0.1,0,0,0,0,0.1,0.5,0,0.1,6.9,0,1.9,0,0.1,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,1
1992,0,0,0,11.1,0,0.2,0,0,0.1,0,0.2,0.2,0,0.1,0,26.2,0,0,1.3,0,0.4,7,0,0,0,0.1,0,0,0,0,0.1,0.5,0,0.1,7,0,1.9,0,0.1,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,1
1993,0,0,0,11.5,0,0.1,0,0,0.3,0,0.2,0.2,0,0.1,0.1,29.5,0,0,0.9,0,0.3,6.4,0,0,0,0.1,0,0,0,0,0,0.4,0,0.1,5.7,0,2.1,0,0.1,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0.3,0.6
1994,0,0,0,12.8,0,0.1,0,0,0.3,0,0.2,0.2,0,0.1,0.1,28.9,0,0,0.7,0,0.3,7.1,0,0,0,0.1,0,0,0,0,0.1,0.3,0,0.1,5.1,0,2,0,0.1,0.1,0,0,0.1,0,0,0.2,0,0,0,0,0,0.2,0.3,0.6
1995,0,0,0,13.2,0,0.1,0,0,0.4,0,0.2,0.2,0,0.1,0.1,27.1,0,0,0.8,0,0.3,6.4,0,0,0,0.1,0,0,0,0,0.1,0.3,0,0.1,4.9,0,2.1,0,0.1,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0.2,0.3,0.6
1996,0,0,0,13.5,0,0.1,0,0,0.4,0,0.2,0.2,0,0.1,0.2,27.3,0,0,0.4,0,0.3,6.8,0,0,0,0.1,0,0,0,0,0.1,0.4,0,0.1,4.2,0,2,0,0.1,0.5,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.3,0.6
1997,0,0,0,14.5,0,0.1,0,0,0.4,0,0.2,0.2,0,0.1,0.1,23.5,0,0,0.5,0,0.3,7.8,0,0.1,0,0.1,0,0,0,0,0.1,0.4,0,0.1,3.7,0,2,0,0.1,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.3,0.6
1998,0,0,0,14.5,0,0.1,0,0,0.4,0,0.2,0.2,0,0.1,0.1,23.3,0,0,0.3,0,0.2,8.3,0,0,0,0.1,0,0,0,0,0.2,0.3,0,0.1,4.2,0,2,0,0.1,0.7,0,0,0.1,0,0,0.2,0,0,0,0,0,0.3,0.3,0.7
1999,0,0,0,14.4,0,0.1,0,0,0.4,0,0.2,0.2,0,0.1,0.2,22.3,0,0,0.7,0,0.1,7.5,0.1,0.1,0,0.1,0,0,0,0,0.4,0.3,0,0.1,4.2,0,1.9,0,0.1,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.3,0.7
2000,0,0,0,14.2,0,0,0,0,0.4,0,0.2,0.2,0,0.1,0.2,22,0,0,0.9,0,0.1,7.1,0.1,0.1,0,0.2,0,0,0,0,0.5,0.3,0,0.1,4.3,0,1.9,0,0.1,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.3,0.7
2001,0,0,0,16.1,0,0,0,0,0.3,0,0.2,0.2,0,0.1,0.3,22.2,0,0,0.9,0,0.1,8,0.1,0.1,0,0.1,0,0,0,0,0.5,0.4,0,0.1,4.4,0,1.8,0,0.1,0.2,0,0,0.1,0,0,0.3,0,0,0,0,0,0.3,0.2,0.8
2002,0,0,0,18.6,0,0,0,0,0.3,0,0.2,0.3,0,0.1,0.4,22.7,0,0,1.3,0,0.1,7.6,0.2,0.1,0,0.2,0,0,0,0,0.4,0.3,0,0.1,4.6,0,1.8,0,0.1,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.3,0.9
2003,0,0,0,18.5,0,0,0,0,0.3,0,0.1,0.3,0,0.1,0.3,20.9,0,0,1,0,0.1,8.2,0.2,0.1,0,0.2,0,0,0,0,0.6,0.3,0,0.1,4.5,0,1.7,0,0.1,0.1,0,0,0.1,0,0,0.3,0,0,0,0,0,0.3,0.3,1.1
2004,0,0,0,18.1,0,0,0,0,0.3,0,0.1,0.3,0,0.1,0.4,20.4,0,0,1.2,0,0.1,8.1,0.2,0.1,0,0.2,0,0,0,0,1,0.3,0,0.1,4.4,0,1.7,0,0.1,0.6,0,0,0.1,0,0,0.3,0,0,0,0,0,0.1,0.3,1
2005,0,0,0,19,0,0.1,0,0,0.3,0,0.2,0.3,0,0,0.4,20.5,0,0,1.2,0,0.1,7.7,0.2,0.1,0,0.2,0,0,0,0,1.1,0.3,0,0.1,3.5,0,1.7,0,0.2,0.4,0,0,0.1,0,0,0.4,0,0,0,0,0,0.1,0.4,0.8
2006,0,0,0,18.3,0,0.1,0,0,0.3,0,0.1,0.3,0.1,0.1,0.5,20.4,0,0,1.4,0,0.1,8,0.2,0.1,0,0.2,0,0,0,0,0.8,0.4,0,0.1,4.2,0,1.7,0,0.2,0.4,0,0,0.1,0,0,0.4,0,0,0,0,0,0.3,0.4,1.2
2007,0,0,0,18.7,0,0.1,0,0,0.3,0,0.1,0.3,0,0.1,0.5,20.6,0,0,1.1,0,0.1,7.5,0.2,0.1,0,0.3,0,0,0,0,0.5,0.3,0,0.1,5.2,0,1.9,0,0.2,0.4,0,0,0.1,0,0,0.3,0,0,0,0,0,0.2,0.5,1
2008,0,0,0,18.5,0,0.1,0,0,0.3,0,0.1,0.3,0,0.1,0.4,20.8,0,0,1,0,0.1,7.9,0.3,0.1,0,0.3,0,0,0,0,0.7,0.3,0,0.2,5,0,1.8,0,0.2,0.3,0,0,0.1,0,0,0.3,0,0,0,0,0,0.2,0.5,1
2009,0,0,0,18.8,0,0.1,0,0,0.3,0,0.1,0.2,0.1,0.1,0.4,21.1,0,0,0.9,0,0.1,7.9,0.2,0.1,0,0.3,0,0,0,0,0.7,0.2,0,0.2,5,0,1.8,0,0.2,0.2,0,0,0.1,0,0,0.3,0,0,0,0,0,0.3,0.5,1
