year	argentina_alcb	argentina_anmp	argentina_crls	argentina_frts	argentina_mscl	argentina_olcr	argentina_plss	argentina_sgrc	argentina_spcs	argentina_stml	argentina_strr	argentina_vgtb	colombia_alcb	colombia_anmp	colombia_crls	colombia_frts	colombia_mscl	colombia_olcr	colombia_plss	colombia_sgrc	colombia_spcs	colombia_stml	colombia_strr	colombia_vgtb	france_alcb	france_anmp	france_crls	france_frts	france_mscl	france_olcr	france_plss	france_sgrc	france_spcs	france_stml	france_strr	france_vgtb	germany_alcb	germany_anmp	germany_crls	germany_frts	germany_mscl	germany_olcr	germany_plss	germany_sgrc	germany_spcs	germany_stml	germany_strr	germany_vgtb	india_alcb	india_anmp	india_crls	india_frts	india_mscl	india_olcr	india_plss	india_sgrc	india_spcs	india_stml	india_strr	india_vgtb	japan_alcb	japan_anmp	japan_crls	japan_frts	japan_mscl	japan_olcr	japan_plss	japan_sgrc	japan_spcs	japan_stml	japan_strr	japan_vgtb
1961	184	971	1025	78	0	174	26	381	1	12	201	56	10	358	767	199	0	86	48	330	0	10	137	17	267	1014	1003	61	0	205	23	294	0	9	211	103	52	941	847	98	0	279	13	334	1	31	255	31	3	112	1272	30	0	132	218	194	10	0	23	24	73	249	1542	30	0	205	36	175	0	2	148	61
1962	197	972	1028	73	0	226	19	360	1	12	136	57	12	365	723	198	0	100	47	333	1	11	176	18	270	1030	998	82	0	216	22	317	0	9	209	103	57	947	851	109	0	315	13	330	2	34	247	32	3	111	1342	29	0	137	194	185	11	0	20	25	74	272	1542	30	0	208	37	193	0	2	146	67
1963	210	975	1036	69	0	236	25	270	1	10	147	54	14	365	721	194	0	76	43	306	0	10	147	19	264	1041	960	90	0	218	28	320	0	9	202	103	59	959	832	116	0	295	13	335	2	33	244	36	3	109	1277	30	0	134	187	182	12	0	21	25	76	289	1548	36	0	219	39	185	0	2	138	73
1964	208	861	1050	71	0	256	24	398	1	11	145	59	12	357	765	195	0	84	44	323	0	10	159	19	264	1037	933	98	0	225	20	341	2	10	197	99	66	963	913	101	0	304	11	349	1	35	234	34	3	108	1321	31	0	132	163	185	12	0	23	26	77	297	1548	42	0	217	35	206	0	2	138	71
1965	210	901	1055	72	0	277	23	363	1	10	216	57	14	356	764	193	0	79	42	303	0	11	157	20	260	1077	938	85	0	234	22	324	1	9	187	99	72	960	934	103	0	321	12	335	3	40	222	32	3	104	1218	31	0	133	188	195	9	0	27	26	73	331	1499	40	0	210	36	220	0	2	133	73
1966	200	981	950	74	0	325	16	387	1	11	143	57	14	336	735	190	0	79	37	311	0	10	156	23	260	1067	899	92	0	251	24	337	2	11	188	95	69	957	926	117	1	307	12	351	3	39	221	38	3	105	1269	32	0	129	148	192	10	0	30	26	75	345	1472	45	0	237	31	233	0	4	121	77
1967	207	977	973	77	0	333	15	393	1	9	174	58	14	339	720	205	0	85	40	297	0	9	156	24	255	1114	860	92	0	254	19	385	1	11	186	97	70	983	899	119	1	314	11	341	3	38	222	37	3	100	1366	32	0	127	129	170	11	0	30	27	80	365	1465	47	0	247	34	260	0	4	108	78
1968	209	1023	989	72	0	333	15	387	1	9	176	56	13	335	740	195	0	101	40	288	1	9	159	25	259	1149	862	95	0	275	20	325	2	15	180	94	74	1001	892	136	0	317	11	363	3	37	221	34	3	105	1340	29	0	126	175	160	9	0	37	28	79	381	1423	54	0	252	31	282	0	4	106	83
1969	209	1049	945	86	0	345	16	387	1	8	208	58	15	331	692	201	0	106	40	340	1	9	154	25	251	1150	838	94	0	271	17	368	2	15	175	96	79	1013	898	126	1	304	12	357	3	36	214	37	4	106	1358	30	0	130	150	184	9	0	39	28	73	408	1395	52	0	255	33	299	0	4	93	79
1970	213	994	1016	96	0	317	13	419	1	9	200	57	12	335	719	206	0	117	41	312	0	10	168	26	256	1175	825	96	0	255	22	384	2	14	177	93	86	1052	896	124	1	304	11	374	3	36	210	41	3	101	1405	30	0	134	169	195	12	0	36	28	77	428	1368	55	0	272	29	341	2	4	84	76
1971	201	911	986	94	0	312	12	419	1	8	178	55	15	346	741	188	0	120	42	340	0	10	188	26	252	1184	792	92	0	256	19	407	2	15	177	88	95	1055	898	123	0	313	9	382	3	41	208	40	4	107	1279	30	0	133	157	204	10	0	38	29	81	448	1358	54	0	273	32	317	2	5	79	80
1972	195	871	947	92	0	310	10	429	2	9	145	56	16	334	738	191	0	132	44	357	1	9	182	27	253	1188	792	87	0	259	17	380	2	17	173	80	92	1051	896	114	0	315	8	388	3	41	200	42	4	106	1309	29	1	129	143	187	9	0	40	29	85	468	1359	61	0	291	26	324	3	5	80	80
1973	181	901	946	80	0	331	10	351	2	9	147	57	21	316	751	200	0	127	43	365	0	9	191	26	246	1182	774	85	0	262	18	425	3	21	171	81	99	1054	904	126	0	313	9	409	3	40	194	43	4	106	1367	29	1	141	141	180	10	1	38	30	86	477	1376	60	0	306	25	291	3	6	68	77
1974	196	972	957	114	0	290	9	426	3	8	172	58	23	316	782	193	0	134	44	399	1	9	192	27	248	1197	792	78	0	257	15	412	2	18	174	80	100	1061	905	104	0	303	8	403	3	38	192	42	4	110	1264	28	0	135	120	195	9	1	39	31	87	462	1348	57	0	310	25	302	3	5	67	75
1975	208	1049	974	99	0	313	10	400	3	9	128	64	22	328	743	202	0	117	49	423	1	9	199	28	251	1205	792	71	0	263	18	380	3	18	167	79	106	1062	894	117	2	302	7	391	3	41	188	42	4	109	1375	29	0	142	132	187	10	0	41	31	86	468	1349	58	0	298	23	271	3	6	78	74
1976	219	1034	965	83	0	307	8	376	2	9	128	56	22	357	793	200	0	132	42	452	1	8	197	35	243	1219	816	76	0	298	16	382	2	20	134	71	112	1054	907	114	3	327	9	411	4	40	170	44	4	113	1211	29	0	134	156	191	9	0	44	31	86	499	1345	54	0	304	19	281	4	7	69	74
1977	222	1019	962	87	0	317	10	354	3	8	135	52	25	358	754	193	0	146	42	447	1	8	208	34	228	1254	831	67	0	307	24	372	2	19	154	82	103	1050	901	108	4	328	10	389	3	40	179	46	4	113	1385	29	0	146	144	194	13	1	41	31	89	507	1323	57	0	304	18	304	4	7	73	77
1978	211	1044	981	75	0	325	10	393	3	7	125	54	25	338	781	207	0	136	44	478	1	9	230	33	223	1289	817	76	0	321	20	381	2	19	154	83	113	1092	923	117	6	322	9	411	3	41	186	46	5	112	1410	29	1	155	137	212	12	1	39	32	88	535	1292	53	0	320	17	317	5	7	72	78
1979	194	1056	960	93	0	308	10	386	2	9	130	56	21	343	784	208	0	146	47	443	1	9	220	33	237	1329	816	71	0	322	19	341	3	19	141	81	117	1120	919	116	5	317	9	418	4	44	182	48	4	115	1304	30	0	142	130	209	10	1	45	31	91	541	1275	58	1	323	18	335	5	7	74	77
1980	200	1064	940	99	0	326	11	389	2	8	125	58	20	342	816	209	0	165	53	465	1	9	215	32	232	1330	836	72	0	334	17	319	2	20	135	78	120	1134	934	115	6	324	10	416	4	47	173	46	4	116	1314	30	0	153	101	188	10	1	38	31	91	537	1276	53	1	334	17	323	3	8	73	76
1981	196	1046	945	90	0	336	13	362	3	9	152	46	21	358	804	205	0	192	51	460	1	9	226	32	223	1313	839	70	0	378	17	344	2	21	134	78	120	1133	935	95	6	341	9	422	5	46	165	50	5	123	1340	30	0	154	120	195	10	0	40	32	90	539	1271	49	1	347	16	269	3	9	70	78
1982	192	935	963	76	0	324	13	360	2	10	134	53	21	352	843	172	0	178	55	459	1	8	208	28	225	1275	877	74	0	385	19	324	2	20	137	82	115	1136	936	128	4	329	9	426	4	48	166	48	5	130	1308	29	0	157	121	191	11	1	40	32	97	542	1262	53	1	347	18	320	4	9	77	78
1983	182	906	920	79	0	308	10	389	2	8	134	51	25	346	840	189	0	191	57	469	1	8	208	27	216	1288	896	70	0	390	18	342	3	17	138	78	119	1155	966	109	4	323	10	422	5	45	163	47	5	138	1457	30	1	154	131	203	12	1	37	33	104	560	1261	51	1	355	16	310	4	10	73	74
1984	166	951	932	79	0	290	9	405	2	10	141	51	27	358	835	169	0	193	57	444	1	7	209	28	210	1308	885	83	0	382	18	336	3	16	135	78	116	1170	985	121	4	317	10	404	5	48	168	52	5	145	1405	32	1	160	130	239	12	1	43	34	103	567	1243	45	1	366	16	313	4	10	75	76
1985	154	1012	944	82	0	289	12	408	2	7	149	54	27	357	813	171	0	197	56	448	0	7	178	33	196	1340	888	79	0	392	16	334	3	16	138	86	115	1190	990	116	4	320	10	422	5	56	176	51	5	151	1357	32	1	155	122	232	15	1	42	33	101	580	1254	49	1	366	16	317	4	10	77	76
1986	147	937	921	72	0	312	13	417	2	8	140	54	26	362	804	177	0	200	52	435	1	7	177	35	189	1323	887	93	0	398	18	324	3	19	136	78	117	1166	987	131	3	327	11	434	5	53	170	52	6	154	1375	36	0	157	136	207	13	1	34	33	99	585	1242	49	1	377	18	322	5	11	78	78
1987	140	999	968	84	0	306	14	388	2	6	136	53	26	361	808	186	0	221	60	499	1	7	181	32	186	1354	879	82	0	418	20	353	3	20	137	82	117	1199	993	122	3	329	10	419	5	50	170	53	6	152	1424	35	1	160	121	180	13	1	39	34	103	599	1232	52	2	386	18	322	6	14	78	78
1988	129	931	936	79	0	313	21	361	2	7	182	53	26	384	805	182	0	214	57	439	1	7	190	32	184	1356	905	87	0	420	18	344	2	21	134	93	121	1207	992	134	0	343	8	425	5	49	172	55	8	151	1509	29	2	178	119	179	14	1	40	35	112	612	1241	50	1	395	18	326	6	16	77	79
1989	117	923	992	64	0	305	11	360	2	7	133	50	27	401	819	184	0	213	55	448	1	7	203	29	177	1378	904	83	1	418	17	340	2	22	130	91	120	1162	990	128	0	356	7	406	5	52	173	55	7	157	1555	31	0	183	132	201	15	1	39	34	93	621	1264	49	1	402	19	329	6	17	80	79
1990	118	875	985	62	0	289	10	410	2	7	101	51	28	421	835	161	0	215	66	432	1	7	199	29	165	1335	886	84	1	431	19	344	2	21	130	92	118	1140	929	131	0	377	12	340	5	58	147	54	7	157	1394	31	1	185	124	194	14	1	39	34	99	616	1252	49	1	406	17	319	8	16	80	77
1991	120	899	1000	83	0	317	12	406	2	9	107	55	30	423	827	166	0	218	64	455	0	7	192	20	158	1369	881	77	1	438	20	350	3	25	133	93	117	1113	921	116	0	435	8	423	4	61	147	56	8	155	1477	32	0	188	128	199	12	1	39	35	90	617	1256	45	1	412	16	309	8	16	78	77
1992	113	943	1002	83	0	341	10	414	2	12	97	59	32	407	842	188	0	235	73	463	1	7	186	17	166	1368	855	96	0	438	19	362	2	25	136	86	114	1108	918	145	0	438	7	443	4	59	146	59	8	158	1516	35	0	191	108	200	16	1	43	33	95	612	1250	50	1	424	17	308	9	16	76	78
1993	108	986	970	87	0	345	10	418	2	13	119	53	32	421	853	182	0	266	63	440	1	7	213	18	163	1344	891	86	1	445	19	356	2	19	134	89	104	1044	904	110	0	442	8	410	4	56	147	52	9	161	1392	39	0	183	110	180	17	1	42	35	98	618	1244	48	1	420	18	300	8	16	71	77
1994	100	993	962	94	0	346	15	447	2	12	131	53	27	441	871	171	0	280	64	441	1	7	210	19	161	1344	895	88	1	439	18	353	2	19	123	73	95	1059	933	111	0	441	8	389	4	48	143	57	8	164	1395	42	0	197	116	198	15	1	42	35	95	621	1241	49	2	423	17	296	8	17	75	78
1995	91	966	999	90	0	344	12	459	2	11	134	53	30	471	868	194	0	281	60	443	1	8	208	26	153	1343	890	93	1	441	20	354	2	17	128	77	104	1051	940	100	0	458	9	425	4	39	143	57	10	171	1433	41	0	207	127	199	14	1	40	36	98	625	1237	48	2	421	14	288	10	17	73	81
1996	90	969	1026	88	0	334	13	443	2	11	125	54	30	462	884	164	0	303	67	418	1	6	209	31	156	1353	897	85	0	424	18	365	2	18	128	77	109	1068	935	119	0	497	11	388	4	38	147	62	11	174	1433	41	0	226	111	194	17	1	40	36	97	625	1243	44	2	455	17	290	11	20	71	80
1997	92	964	995	95	0	324	13	437	3	12	150	48	28	460	916	166	0	299	68	427	1	5	201	37	149	1372	904	73	0	436	19	374	2	22	127	75	112	1047	819	103	0	502	16	408	4	43	144	59	9	176	1414	45	0	228	119	216	15	1	48	33	97	603	1227	49	2	469	15	285	11	18	76	78
1998	81	994	986	92	0	340	11	429	3	11	164	55	24	463	919	144	0	302	64	427	1	6	191	33	146	1388	921	74	1	439	20	379	2	25	123	81	108	1066	945	110	0	481	16	393	4	48	138	61	9	179	1402	47	0	211	104	227	17	1	40	39	94	591	1207	44	2	470	14	290	11	17	73	79
1999	83	1033	1022	90	0	351	12	466	2	11	131	60	31	448	932	158	0	297	67	450	4	6	202	29	142	1376	923	76	2	445	21	382	2	26	123	79	113	1060	949	111	0	464	11	399	4	43	140	64	10	183	1424	47	0	230	117	222	17	1	44	41	97	593	1205	49	2	466	15	284	11	18	70	80
2000	79	1013	1081	100	0	342	9	464	2	11	109	56	29	461	992	176	0	308	71	434	5	5	151	33	138	1374	926	78	2	457	19	372	2	33	121	80	113	1035	966	125	0	508	13	406	4	41	139	65	11	180	1371	45	0	229	105	216	17	1	48	42	98	609	1197	48	3	476	15	268	12	20	72	80
2001	75	958	1014	112	0	356	9	468	2	11	119	55	31	467	992	183	0	301	73	429	4	5	163	28	134	1382	939	87	3	471	18	380	2	31	120	77	113	1056	1031	108	0	460	9	441	4	34	136	68	11	181	1343	43	0	212	107	218	17	1	44	45	98	607	1181	49	2	475	15	278	12	20	69	80
2002	71	813	1034	85	0	316	9	462	2	9	107	55	31	468	967	184	1	304	70	424	4	5	147	28	136	1370	945	93	3	478	18	387	2	31	119	82	113	1067	1080	109	0	456	7	438	5	34	132	68	11	180	1372	42	0	211	109	214	14	1	47	38	96	600	1169	51	3	463	15	280	13	19	69	77
2003	73	830	1134	86	0	306	9	458	2	9	100	52	32	465	1003	179	1	296	69	429	4	6	159	32	128	1347	937	84	4	465	18	379	2	33	117	79	107	1093	1012	103	0	458	8	457	4	35	129	65	12	180	1435	44	0	208	104	224	19	1	42	44	101	600	1159	50	3	462	15	283	14	20	67	78
2004	68	808	1108	88	0	327	9	469	2	10	99	51	28	472	1003	184	1	285	62	442	4	4	155	30	135	1285	945	92	4	453	17	390	2	34	120	84	122	1075	1024	98	0	483	6	468	5	26	139	67	9	185	1373	46	0	221	105	198	18	1	48	36	102	586	1150	50	4	482	14	284	13	21	68	77
2005	67	906	1078	78	0	334	7	483	2	10	89	51	30	486	961	179	1	293	69	437	4	4	140	30	137	1252	954	98	4	499	17	394	2	30	115	76	133	1070	1040	97	0	482	6	490	6	33	132	61	8	190	1367	49	0	234	99	197	18	1	51	38	93	592	1155	53	4	478	14	269	13	21	68	78
2006	68	919	1014	76	1	333	23	474	2	10	88	47	30	499	968	194	1	296	62	408	4	7	153	26	132	1214	979	95	4	520	17	355	2	29	112	71	158	1066	1045	93	0	495	6	449	5	32	117	61	11	196	1390	53	0	232	111	201	19	1	51	44	102	574	1132	48	4	477	14	259	13	21	64	77
2007	70	941	951	64	2	326	13	471	2	11	89	50	32	496	953	192	1	293	62	409	4	6	189	27	136	1236	945	99	5	518	17	347	2	30	105	73	148	1094	1000	95	0	514	7	456	7	38	121	64	16	202	1383	57	0	245	121	199	20	1	49	48	104	575	1140	50	4	470	14	285	13	22	65	76
2008	68	945	919	73	1	325	26	468	2	11	86	49	29	522	999	198	1	280	60	409	4	5	169	31	110	1225	992	89	5	529	16	406	3	36	109	74	172	1083	977	91	0	521	6	454	6	31	126	65	14	207	1346	61	0	240	110	217	19	1	58	49	95	573	1116	50	4	473	14	268	13	20	64	74
2009	65	929	896	74	1	329	13	462	2	9	88	47	30	536	989	185	1	276	65	402	4	16	182	30	122	1183	962	92	5	575	15	383	3	27	94	66	161	1082	992	92	0	523	6	449	6	33	134	67	9	209	1331	62	0	252	119	216	17	1	58	47	93	566	1112	49	4	449	17	260	12	20	63	73
